Index,Member_ID,Sales_Type,Contract_Type,Channel,Datetime,Term,Payment_Type,Product_Type,Amount_Month,Customer_Type,Age,Address1,Address2,State,Overdue_count,Overdue_Type,Gender,Credit_Rank,Bank
1,66758234,렌탈,일반계약,영업방판,2019-05-06,60,CMS,DES-1,96900, 개인,42,경기도,경기도,계약확정,0,없음,여자,9,새마을금고
2,66755948,렌탈,교체계약,영업방판,2020-02-20,60,카드이체,DES-1,102900, 개인,39,경기도,경기도,계약확정,0,없음,남자,2,현대카드
3,66756657,렌탈,일반계약,홈쇼핑/방송,2019-02-28,60,CMS,DES-1,96900, 개인,48,경기도,경기도,계약확정,0,없음,여자,8,우리은행
4,66423450,멤버십,멤버십3유형,재계약,2019-05-13,12,CMS,DES-1,66900, 개인,39,경기도,경기도,계약확정,0,없음,남자,5,농협회원조합
5,66423204,멤버십,멤버십3유형,재계약,2019-05-10,12,CMS,DES-1,66900, 개인,60,경기도,경기도,기간만료,12,있음,남자,8,농협회원조합
6,66165241,렌탈,프로모션계약,영업방판,2019-07-29,60,CMS,DES-3A,90900, 개인,53,경상도,경상도,계약확정,0,없음,여자,5,농협중앙회
7,66751017,렌탈,패키지계약,홈쇼핑/방송,2019-01-30,60,카드이체,DES-1,98400, 개인,66,경상도,경상도,계약확정,0,없음,남자,1,롯데카드
8,66751017,렌탈,패키지계약,홈쇼핑/방송,2019-01-17,60,카드이체,DES-2,80400, 개인,66,경상도,경상도,계약확정,0,없음,남자,1,롯데카드
9,66758007,렌탈,일반계약,영업방판,2019-06-30,60,카드이체,DES-3A,102900, 개인,62,경상도,경상도,계약확정,0,없음,여자,2,롯데카드
10,66756702,렌탈,프로모션계약,영업방판,2019-06-30,60,CMS,DES-1,105900, 개인,51,경상도,경상도,계약확정,0,없음,여자,1,신한은행
11,66757254,렌탈,패키지계약,홈쇼핑/방송,2019-07-23,60,카드이체,DES-1,81900, 개인,39,경상도,경상도,계약확정,0,없음,여자,1,국민카드
12,66757254,렌탈,패키지계약,홈쇼핑/방송,2019-08-09,60,카드이체,DES-2,81900, 개인,39,경상도,경상도,계약확정,0,없음,여자,1,국민카드
13,66355286,렌탈,프로모션계약,영업방판,2020-02-10,60,카드이체,DES-3A,90900, 개인,35,경상도,경상도,계약확정,0,없음,여자,7,현대카드
14,66757861,렌탈,일반계약,영업방판,2020-02-10,60,CMS,DES-1,96900, 개인,50,경상도,경상도,계약확정,0,없음,남자,1,농협중앙회
15,66758085,렌탈,프로모션계약,영업방판,2020-07-11,60,CMS,DES-2,90900, 개인,48,경상도,경상도,계약확정,0,없음,남자,1,농협회원조합
16,66423049,멤버십,멤버십3유형,재계약,2019-04-29,12,CMS,DES-1,66900, 개인,59,전라도,전라도,계약확정,0,없음,여자,2,농협회원조합
17,66190995,렌탈,프로모션계약,홈쇼핑/방송,2019-06-25,60,카드이체,DES-1,96900, 개인,61,경상도,부산광역시,계약확정,0,없음,남자,1,롯데카드
18,66757035,렌탈,프로모션계약,전문매장H,2019-09-28,60,CMS,DES-1,96900, 개인,32,경상도,부산광역시,해약확정,0,없음,여자,4,부산은행
19,66423249,멤버십,멤버십3유형,재계약,2020-01-17,12,CMS,DES-1,66900, 개인,87,경상도,부산광역시,계약확정,0,없음,여자,2,농협중앙회
20,66755490,렌탈,프로모션계약,영업방판,2020-01-17,60,카드이체,DES-1,105900, 개인,58,경상도,부산광역시,계약확정,0,없음,여자,1,롯데카드
21,66423230,멤버십,멤버십3유형,재계약,2020-04-02,12,CMS,DES-1,66900, 개인,43,경상도,부산광역시,계약확정,0,없음,여자,2,우리은행
22,66758336,렌탈,프로모션계약,전문매장Z,2020-04-25,60,CMS,DES-1,111900, 개인,72,경상도,부산광역시,계약확정,0,없음,남자,9,농협회원조합
23,66758074,렌탈,일반계약,영업방판,2020-07-23,60,CMS,DES-1,96900, 개인,,충청도,충청도,계약확정,0,없음,여자,1,농협중앙회
24,66758074,렌탈,일반계약,영업방판,2019-01-01,60,CMS,DES-2,87900, 개인,,충청도,충청도,계약확정,0,없음,여자,1,농협중앙회
25,66755833,렌탈,패키지계약,전문매장Z,2019-01-21,60,CMS,DES-1,134700, 개인,40,충청도,충청도,계약확정,0,없음,여자,7,우체국
26,66755833,렌탈,패키지계약,전문매장Z,2019-01-29,60,CMS,DES-2,89400, 개인,40,충청도,충청도,계약확정,0,없음,여자,7,우체국
27,66422938,멤버십,멤버십3유형,재계약,2019-02-12,12,CMS,DES-1,66900, 개인,73,강원도,강원도,계약확정,0,없음,여자,2,신한은행
28,66755125,렌탈,프로모션계약,홈쇼핑/방송,2019-02-24,60,카드이체,DES-1,105900, 개인,50,경기도,경기도,계약확정,0,없음,여자,1,롯데카드
29,66422513,멤버십,멤버십3유형,재계약,2019-03-15,12,CMS,DES-1,66900, 개인,48,경기도,경기도,계약확정,0,없음,여자,2,농협회원조합
30,66419239,렌탈,교체계약,영업방판,2019-04-08,60,CMS,DES-1,96900, 개인,38,경기도,경기도,계약확정,0,없음,여자,,국민은행
31,25702131,멤버십,멤버십3유형,재계약,2019-04-28,12,CMS,DES-1,66900, 사업자,,경기도,경기도,계약확정,0,없음,여자,,기업은행
32,66422449,멤버십,멤버십3유형,재계약,2019-05-31,12,CMS,DES-1,66900, 개인,51,경기도,경기도,계약확정,0,없음,여자,1,농협중앙회
33,25742841,렌탈,프로모션계약,영업방판,2019-08-10,60,CMS,DES-1,142200, 사업자,57,경기도,경기도,계약확정,0,없음,여자,,농협회원조합
34,66758615,렌탈,프로모션계약,대형마트H,2019-08-21,60,CMS,DES-1,96900, 개인,48,서울특별시,서울특별시,계약확정,0,없음,남자,7,농협중앙회
35,66758778,렌탈,일반계약,홈쇼핑/방송,2019-09-03,60,CMS,DES-1,96900, 개인,59,서울특별시,서울특별시,계약확정,0,없음,여자,5,우리은행
36,25742683,렌탈,프로모션계약,대형마트E,2019-10-05,60,CMS,DES-3A,102900, 사업자,48,서울특별시,서울특별시,계약확정,0,없음,여자,,신한은행
37,66127796,렌탈,프로모션계약,영업방판,2019-11-26,60,CMS,DES-2,90900, 개인,43,서울특별시,서울특별시,계약확정,0,없음,여자,1,우리은행
38,25851817,멤버십,멤버십3유형,재계약,2020-01-23,12,CMS,DES-1,96600, 사업자,,서울특별시,서울특별시,해약확정,0,없음,여자,,국민은행
39,66528773,렌탈,일반계약,홈쇼핑/방송,2020-04-11,60,CMS,DES-1,96900, 개인,48,서울특별시,서울특별시,계약확정,0,없음,남자,3,국민은행
40,25742687,렌탈,프로모션계약,영업방판,2020-07-24,60,CMS,DES-1,142200, 사업자,63,서울특별시,서울특별시,계약확정,0,없음,여자,,SC제일은행
41,25742687,렌탈,일반계약,영업방판,2019-06-18,60,CMS,DES-2,96900, 사업자,63,서울특별시,서울특별시,계약확정,0,없음,여자,,SC제일은행
42,25742687,렌탈,일반계약,영업방판,2019-08-02,60,CMS,DES-2,96900, 사업자,63,서울특별시,서울특별시,계약확정,0,없음,여자,,SC제일은행
43,66758315,렌탈,프로모션계약,영업방판,2019-09-06,60,CMS,DES-1,105900, 개인,29,서울특별시,서울특별시,계약확정,0,없음,여자,6,우리은행
44,66758224,렌탈,프로모션계약,영업방판,2019-09-07,60,CMS,DES-1,105900, 개인,57,서울특별시,서울특별시,계약확정,0,없음,여자,1,우리은행
45,66211709,렌탈,교체계약,영업방판,2019-12-19,60,CMS,DES-1,96900, 개인,65,서울특별시,서울특별시,계약확정,0,없음,남자,4,농협회원조합
46,66135112,렌탈,교체계약,영업방판,2019-06-20,60,CMS,DES-1,96900, 개인,51,서울특별시,서울특별시,계약확정,0,없음,여자,1,신한은행
47,66758431,렌탈,일반계약,홈쇼핑/방송,2019-02-27,60,카드이체,DES-1,96900, 개인,62,서울특별시,서울특별시,계약확정,0,없음,여자,1,국민카드
