거래일자,종목명,시가,종가,고가,저가,거래량,거래금액
2023-01-02,삼성전자,,,,,,
2023-01-03,삼성전자,60000.0,60500.0,61000.0,59500.0,5000.0,30000000.0
2023-01-04,삼성전자,60500.0,61000.0,61500.0,60000.0,7000.0,45000000.0
2023-01-05,삼성전자,,,,,,
2023-01-06,삼성전자,61000.0,61500.0,62000.0,60500.0,8000.0,50000000.0
2023-01-09,삼성전자,61500.0,62000.0,62500.0,61000.0,9000.0,60000000.0
2023-01-10,삼성전자,,,,,,
2023-01-11,삼성전자,62000.0,62500.0,63000.0,61500.0,10000.0,80000000.0
2023-01-12,삼성전자,,,,,,
2023-01-13,삼성전자,62500.0,63000.0,63500.0,62000.0,7000.0,65000000.0
2023-01-16,삼성전자,,,,,,
2023-01-17,삼성전자,63000.0,63500.0,64000.0,62500.0,9000.0,70000000.0
2023-01-18,삼성전자,63500.0,64000.0,64500.0,63000.0,12000.0,85000000.0
2023-01-19,삼성전자,,,,,,
2023-01-20,삼성전자,64000.0,64500.0,65000.0,63500.0,10000.0,75000000.0
