공급일자,물품코드,물품대분류,물품중분류,물품소분류,물품명,구매수량,구매금액,구매매장,반품_원거래일자,회원번호
20170201,50301001,채소,과일채소,딸기,딸기(1kg),1,13600,매장1,,2102
20170201,80201053,간식,떡,가래떡,현미가래떡(400g),1,99999999,매장1,,2102
20170201,110104033,음료,음료,음료기타,개복숭아감식초(700ml),1,13000,매장1,,2103
20170201,40203001,과실,견과,잣,잣(220g:1병),1,14800,매장1,,2105
20170201,50417002,채소,뿌리채소,우엉,우엉(300g),1,3400,매장1,,2105
20170201,50426001,채소,손질한채소,연근채/세척,연근채(300g),1,3750,매장1,,2105
20170201,50508001,채소,양념채소,양파,양파(1kg),1,2350,매장1,,2105
20170201,50706003,채소,버섯,팽이버섯,팽이버섯(150g),1,600,매장1,,2105
20170201,80307003,간식,밀가공,면/기타,당면(500g),1,4800,매장1,,2105
20170201,90405036,양념/가루,장,장류/기타,검은콩낫토(50g*2),2,5800,매장1,,2105
20170201,100201003,반찬,두부/유부,두부,두부(1모:420g),1,1950,매장1,,2105
20170201,50150001,채소,잎/줄기채소,아욱,아욱(300g),1,1450,매장1,,2108
20170201,30101015,서류,감자,감자,감자(1kg),1,2750,매장1,,2117
20170201,40110005,과실,과일,귤만감(레드향),레드향/유(2kg),1,20400,매장1,,2117
20170201,50132017,채소,잎/줄기채소,브로컬리,브로컬리(350g),1,2800,매장1,,2117
20170201,50198197,채소,잎/줄기채소,어린잎채소,어린잎채소(100g),1,2850,매장1,,2117
20170201,50301001,채소,과일채소,딸기,딸기(1kg),1,13600,매장1,,2117
20170201,50707001,채소,버섯,표고버섯,생표고버섯(300g),1,4400,매장1,,2117
20170201,60101001,축산물,소,한우,한우불고기(600g/국내산),1,30500,매장1,,2117
20170201,60107004,축산물,돼지,보리살림돼지,불고기용(600g/우리보리살림돼지),1,8800,매장1,,2117
20170201,60201028,축산물,알,유정란,구운유정란(6알),1,3500,매장1,,2117
20170201,60303004,축산물,육가공,돈가스/분쇄가공,한우떡갈비(300g),1,12700,매장1,,2117
20170201,60401335,축산물,유제품,우유/산양유,유기농저지방우유(종이팩/유애래/900ml),1,4100,매장1,,2117
20170201,80103027,간식,과자,한과/유과,방울유과(70g),1,2800,매장1,,2117
20170201,80504019,간식,식사대용,식사대용/기타,양송이스프(80g),1,2400,매장1,,2117
20170201,90201018,양념/가루,기름/식초,기름,현미유(500ml),1,5600,매장1,,2117
20170201,100201002,반찬,두부/유부,두부,두부(반모:270g),1,1450,매장1,,2117
20170201,100501014,반찬,절임/장아찌,절임,단무지(김밥용:400g),1,2600,매장1,,2117
20170201,100502010,반찬,절임/장아찌,장아찌,오이지(5~6개),1,6700,매장1,,2117
20170201,110101014,음료,음료,두유,검은콩두유(160ml*5봉),1,4800,매장1,,2117
20170201,110102407,음료,음료,과즙,가시복분자즙(100ml*20봉),1,30000,매장1,,2117
20170201,110104046,음료,음료,건강차,생맥차(150ml*10봉),1,13500,매장1,,2117
20170201,40113052,과실,과일,배,배(대:3개),1,8300,매장1,,2122
20170201,50129001,채소,잎/줄기채소,보리순,보리순(100g),2,2600,매장1,,2122
20170201,50142001,채소,잎/줄기채소,시금치,시금치(300g),1,2000,매장1,,2122
20170201,90103014,양념/가루,가루,곡식가루,흰밀가루(1kg),1,3900,매장1,,2122
20170201,90103063,양념/가루,가루,곡식가루,통밀가루(500g),1,2400,매장1,,2122
20170201,100201003,반찬,두부/유부,두부,두부(1모:420g),1,1950,매장1,,2122
20170201,40104006,과실,과일,귤(비가림),감귤/비가림/유(1.5kg),1,9500,매장1,,2124
20170201,40116226,과실,과일,사과,사과/(2kg)/특,1,10700,매장1,,2124
20170201,50132017,채소,잎/줄기채소,브로컬리,브로컬리(350g),1,2800,매장1,,2124
20170201,60201014,축산물,알,유정란,유정란/매장용(10알/국내산),1,3700,매장1,,2124
20170201,60401334,축산물,유제품,우유/산양유,유기농우유(종이팩/유애래/900ml),1,4200,매장1,,2124
20170201,40104006,과실,과일,귤(비가림),감귤/비가림/유(1.5kg),1,9500,매장1,,2105
20170201,50151001,채소,잎/줄기채소,양배추,양배추(1통:1kg이상),1,2400,매장1,,2105
20170201,80101078,간식,과자,스낵,우리밀곡물와플(80g),1,2000,매장1,,2105
20170201,80201020,간식,떡,즉석떡,흑임자구름떡(200g),1,3300,매장1,,2105
20170201,80401092,간식,빵,단과자빵,카스텔라(소:100g)/매장,2,2600,매장1,,2105
20170201,110202021,음료,차,곡류차,마.율무차(300g),1,7100,매장1,,2105
20170201,50111001,채소,잎/줄기채소,근대,근대(300g),1,1400,매장1,,2137
20170201,80504018,간식,식사대용,식사대용/기타,크림스프(80g),1,2200,매장1,,2137
20170201,80504019,간식,식사대용,식사대용/기타,양송이스프(80g),1,2400,매장1,,2137
20170201,90405036,양념/가루,장,장류/기타,검은콩낫토(50g*2),1,2900,매장1,,2137
20170201,100201004,반찬,두부/유부,두부,순두부(300g),1,1050,매장1,,2137
20170201,110202012,음료,차,곡류차,옥수수차(500g),1,3600,매장1,,2137
20170201,130301012,생활용품,세제/세안,세탁비누,섬유유연제(보충용:800㎖),1,3200,매장1,,2137
20170201,130302031,생활용품,세제/세안,세안비누,아기순비누(1장),1,3900,매장1,,2137
20170201,60402320,축산물,유제품,요구르트,떠먹는요거트(350g),1,5000,매장1,,2141
20170201,80504018,간식,식사대용,식사대용/기타,크림스프(80g),3,6600,매장1,,2141
20170201,80504019,간식,식사대용,식사대용/기타,양송이스프(80g),3,7200,매장1,,2141
20170201,130204149,생활용품,생활용품,옹기,된장찌개솥뚜껑,1,2500,매장1,,2141
20170201,60205007,축산물,알,유정란,동물복지유정란(10알/국내산),1,3600,매장1,,2142
20170201,70201003,수산,냉동수산,냉동생선,병어(2~3마리:260g이상),1,13100,매장1,,2142
20170201,70203001,수산,냉동수산,기타냉동수산,얼린오징어(2마리),1,6600,매장1,,2142
20170201,100201005,반찬,두부/유부,두부,찌개용두부(420g),2,3700,매장1,,2148
