,종목코드,종목명,날짜,종가,시가,저가,거래량
0,005930,카카오,20230101,61000,60500,60000,15800000
1,005930,카카오,20230102,61200,61000,60800,10500000
2,005930,카카오,20230103,61500,61300,61100,13200000
3,005930,카카오,20230104,61800,61600,61400,12600000
4,005930,카카오,20230105,62000,61800,61600,14200000
5,005930,카카오,20230106,62500,62300,62000,14800000
6,005930,카카오,20230107,62300,62100,61800,15400000
7,005930,카카오,20230108,62200,62000,61700,16000000
8,005930,카카오,20230109,63000,62800,62500,15500000
9,005930,카카오,20230110,63500,63300,63000,14900000
10,005930,카카오,20230111,64000,63800,63500,14500000
11,005930,카카오,20230112,64500,64200,64000,15300000
12,005930,카카오,20230113,64800,64600,64300,14100000
13,005930,카카오,20230114,65200,64900,64700,13900000
14,005930,카카오,20230115,65000,64700,64500,13500000
15,005930,카카오,20230116,65500,65200,65000,14000000
16,005930,카카오,20230117,65700,65400,65200,14400000
17,005930,카카오,20230118,66000,65800,65600,13800000
18,005930,카카오,20230119,66200,66000,65800,15000000
19,005930,카카오,20230120,66500,66300,66100,14700000
20,005930,카카오,20230121,66800,66600,66400,14200000
21,005930,카카오,20230122,67000,66800,66600,14900000
22,005930,카카오,20230123,67200,67000,66800,15300000
23,005930,카카오,20230124,67500,67300,67100,15500000
24,005930,카카오,20230125,67800,67600,67400,15900000
25,005930,카카오,20230126,68000,67800,67600,16100000
26,005930,카카오,20230127,68500,68300,68100,16300000
27,005930,카카오,20230128,68800,68600,68400,16000000
28,005930,카카오,20230129,69000,68800,68600,15700000
29,005930,카카오,20230130,69200,69000,68800,15800000
30,005930,카카오,20230131,69500,69300,69100,16200000
31,005930,카카오,20230201,70000,69800,69600,16400000
32,005930,카카오,20230202,70500,70300,70100,16800000
33,005930,카카오,20230203,70800,70600,70400,16600000
34,005930,카카오,20230204,71000,70900,70700,17000000
35,005930,카카오,20230205,71500,71200,71000,17200000
36,005930,카카오,20230206,72000,71800,71600,17300000
37,005930,카카오,20230207,72200,72000,71800,17500000
38,005930,카카오,20230208,72500,72300,72100,17600000
39,005930,카카오,20230209,72800,72600,72400,17900000
40,005930,카카오,20230210,73000,72800,72600,18200000
41,005930,카카오,20230211,73200,73000,72800,18400000
42,005930,카카오,20230212,73500,73300,73100,18000000
43,005930,카카오,20230213,74000,73800,73600,18100000
44,005930,카카오,20230214,74200,74000,73800,18300000
45,005930,카카오,20230215,74500,74300,74100,18500000
46,005930,카카오,20230216,75000,74800,74600,18700000
47,005930,카카오,20230217,75500,75300,75100,18800000
48,005930,카카오,20230218,75800,75600,75400,18900000
49,005930,카카오,20230219,76000,75900,75700,19100000
50,005930,카카오,20230220,76300,76200,76000,18950000
51,005930,카카오,20230221,76000,76100,75800,19100000
52,005930,카카오,20230222,75800,75900,75700,19250000
53,005930,카카오,20230223,76100,76000,75900,19300000
54,005930,카카오,20230224,76500,76400,76200,19000000
55,005930,카카오,20230225,76800,76700,76500,19450000
56,005930,카카오,20230226,77000,76900,76800,19350000
