,지역,제품,분기,판매량,매출액,할인율
0,서울,삼성 갤럭시 S21,Q1,100,1000000,5
1,부산,삼성 갤럭시 S21,Q1,150,1500000,10
2,서울,LG OLED TV,Q1,200,2000000,0
3,부산,LG OLED TV,Q1,250,2500000,5
4,서울,애플 아이폰 12,Q1,300,3000000,10
5,부산,애플 아이폰 12,Q1,350,3500000,15
6,서울,삼성 갤럭시 S21,Q2,110,1100000,5
7,부산,LG OLED TV,Q2,160,1600000,0
8,서울,애플 아이폰 12,Q2,210,2100000,10
9,부산,삼성 갤럭시 S21,Q2,120,1200000,5
10,서울,LG OLED TV,Q2,170,1700000,0
11,부산,애플 아이폰 12,Q2,220,2200000,15
0,서울,삼성 갤럭시 S21,Q3,130,1300000,5
1,부산,LG OLED TV,Q3,180,1800000,0
2,서울,애플 아이폰 12,Q3,230,2300000,10
3,부산,삼성 갤럭시 S21,Q3,140,1400000,5
4,서울,LG OLED TV,Q3,190,1900000,0
5,부산,애플 아이폰 12,Q3,240,2400000,15
0,서울,삼성 갤럭시 S21,Q4,150,1500000,5
1,부산,LG OLED TV,Q4,200,2000000,0
2,서울,애플 아이폰 12,Q4,250,2500000,10
3,부산,삼성 갤럭시 S21,Q4,160,1600000,5
4,서울,LG OLED TV,Q4,210,2100000,0
5,부산,애플 아이폰 12,Q4,260,2600000,15
