,종목명,종목코드,현재가,거래량,지역
0,삼성전자,005930,70000,1000000,서울
1,SK하이닉스,000660,120000,800000,서울
2,NAVER,035420,380000,500000,성남
3,카카오,035720,135000,600000,성남
4,LG화학,051910,800000,300000,서울
5,현대차,005380,200000,400000,울산
6,POSCO,005490,300000,200000,포항
7,KB금융,105560,45000,700000,서울
8,신한지주,055550,42000,650000,서울
9,셀트리온,068270,230000,550000,인천
10,카카오뱅크,323410,65000,450000,서울
11,삼성바이오로직스,207940,800000,350000,서울
12,삼성SDI,006400,200000,250000,서울
13,LG전자,066570,150000,850000,서울
14,KT&G,033780,85000,450000,대구
15,한국전력,015760,18000,500000,서울
16,LG디스플레이,034220,19000,300000,서울
17,네이버,035420,360000,550000,성남
18,LG생활건강,051900,900000,150000,서울
19,삼성화재,000810,160000,400000,서울
