,종목명,종목코드,현재가,거래량,지역
0,삼성전자,005930,70000.0,1000000.0,서울
1,SK하이닉스,000660,120000.0,800000.0,서울
2,NAVER,035420,380000.0,500000.0,성남
3,카카오,035720,135000.0,600000.0,성남
4,LG화학,,800000.0,300000.0,서울
5,현대차,005380,200000.0,400000.0,울산
6,POSCO,005490,300000.0,200000.0,포항
7,KB금융,105560,45000.0,700000.0,서울
8,신한지주,055550,42000.0,650000.0,서울
9,셀트리온,068270,230000.0,550000.0,인천
10,카카오뱅크,323410,65000.0,450000.0,서울
11,삼성바이오로직스,207940,800000.0,350000.0,서울
12,삼성SDI,006400,200000.0,250000.0,서울
13,LG전자,066570,,850000.0,서울
14,KT&G,033780,85000.0,,대구
15,한국전력,015760,18000.0,500000.0,서울
16,LG디스플레이,034220,19000.0,300000.0,서울
17,네이버,035420,360000.0,550000.0,성남
18,LG생활건강,051900,,150000.0,서울
19,삼성화재,000810,160000.0,400000.0,서울
