,Math_Score,Reading_Score,Writing_Score,Study_Hours,Age
0,96.46078519,83.83150697,67.61636324,23.46736574,15
1,76.00235813,51.52240939,70.21241645,38.2906534,14
2,84.68106976,52.29515002,96.99319192,29.40917977,17
3,103.613398,74.69396708,88.10527461,26.59910898,16
4,98.01336985,53.26876595,87.80263052,33.33191541,13
5,55.3408318,84.43621186,42.66087911,27.69640106,16
6,84.25132626,60.86381019,74.51347751,23.32870764,17
7,67.72964188,57.52545189,60.23938182,23.26641247,16
8,68.45171722,84.22942026,80.59849198,33.46886576,15
9,76.15897753,79.80514791,73.03699221,29.20213281,14
10,72.16065357,83.6755896,93.20357816,29.3314922,13
11,91.8141026,74.06044658,81.3443643,35.38871903,17
12,81.41556588,56.38774315,90.72655924,24.36587096,15
13,71.82512525,84.10064953,65.67161807,26.34661124,15
14,76.65794849,62.31996629,56.11107488,28.07560095,18
15,75.00511491,73.02456396,66.79900614,30.47175795,17
16,92.4111861,74.47251968,74.65959172,29.78914274,16
17,66.92262604,63.44989907,82.58303471,28.56556404,16
18,74.69601552,71.1407937,120.186179,29.69186799,18
19,57.18856391,74.22206672,74.15485697,29.46347362,18
20,31.70515276,68.76425531,55.88109999,26.40197806,17
21,79.80427893,54.00599209,68.08036449,25.93503506,16
22,82.96654298,67.98238174,65.72808051,31.37258179,12
23,58.86752469,78.26385897,84.62962948,25.54542459,16
24,104.0463194,58.0543214,44.18405971,24.2132237,15
25,48.18451488,63.5036546,76.26523988,28.43853874,16
26,70.68637776,60.64846448,78.13013076,29.21166492,17
27,67.19224225,83.49263728,79.64362072,41.28361749,11
28,92.99168822,71.72294757,63.05367862,26.47649862,15
29,92.04038155,69.07461836,70.24156541,34.71630362,16
30,72.32421139,57.30083926,46.51878182,33.73594167,15
31,75.67243779,70.39249191,65.13360233,24.05527522,13
32,56.68321379,58.25667339,64.14277048,33.86626489,17
33,40.28805298,65.31830558,83.32100093,24.0805968,16
34,64.78131776,58.64153922,51.87635136,16.70413881,14
35,72.34523454,71.76433295,90.62396203,33.03159762,16
36,88.45436021,70.76590817,104.8896909,21.22054708,17
37,88.03569773,62.91701244,33.6002995,32.25467231,16
38,64.19009774,68.96006713,83.52517462,26.57994551,17
39,65.46545874,54.06938491,88.5381607,38.29775398,16
40,54.27170552,50.08742407,62.25125949,35.342547,15
41,48.69973094,69.39391701,67.05456371,27.73307098,14
42,44.40594714,66.66673495,72.34238845,26.56081194,15
43,99.26163093,71.35031437,69.04418241,23.92961298,16
44,62.35521727,88.83144775,68.81974062,27.79538684,17
45,63.42888548,74.44479487,41.47992387,28.59822252,15
46,51.2080696,55.87177775,98.0466313,28.17653228,16
47,81.66235534,76.17016288,96.59237184,30.78351928,14
48,45.79153229,51.84092589,58.73271482,32.89260749,14
49,66.8088958,60.38415395,45.67151344,31.74827228,15
50,56.56800158,64.31758395,85.42129753,26.17928038,14
51,75.80353747,82.13342722,63.4842406,22.81104263,17
52,62.33792294,57.55245178,77.83906327,36.82265924,16
53,52.29051724,56.73561461,68.61343166,26.55275408,16
