,결제수단,배송번호,배송시작일,배송완료일,상품구매금액,상품번호,수량,주문경로,주문일,연도,월,요일,주차,주중/주말,배송시작일(date),배송완료일(date),배송기간,배송기간(int)
47,적립금,D-20190101-0000106-01,2019-01-03 오전 9:30,2019-01-13 오전 7:19,68970,38.0,1,네이버 페이,2019-01-01,2019,1,Tuesday,1,주중,2019-01-03,2019-01-13,10 days,10
132,카드,D-20190102-0000463-01,2019-01-03 오후 6:20,2019-01-28 오후 4:33,388080,1217.0,3,네이버 페이,2019-01-02,2019,1,Wednesday,1,주중,2019-01-03,2019-01-28,25 days,25
134,카드,D-20190102-0000498-01,2019-01-03 오후 6:20,2019-01-28 오후 4:15,129360,1217.0,1,네이버 페이,2019-01-02,2019,1,Wednesday,1,주중,2019-01-03,2019-01-28,25 days,25
193,카드,D-20190102-0000938-01,2019-01-03 오후 6:20,2019-01-13 오전 4:38,82170,380.0,1,네이버 페이,2019-01-02,2019,1,Wednesday,1,주중,2019-01-03,2019-01-13,10 days,10
194,카드,D-20190102-0000938-02,2019-01-03 오후 6:20,2019-01-13 오전 4:38,77220,379.0,1,네이버 페이,2019-01-02,2019,1,Wednesday,1,주중,2019-01-03,2019-01-13,10 days,10
195,카드,D-20190102-0000938-03,2019-01-03 오후 6:20,2019-01-13 오전 4:38,72270,378.0,1,네이버 페이,2019-01-02,2019,1,Wednesday,1,주중,2019-01-03,2019-01-13,10 days,10
223,카드,D-20190103-0000012-01,2019-01-03 오후 6:20,2019-01-12 오전 11:23,56760,172.0,1,네이버 페이,2019-01-03,2019,1,Thursday,1,주중,2019-01-03,2019-01-12,9 days,9
228,카드,D-20190103-0000081-00,2019-01-03 오후 6:19,2019-01-11 오전 5:32,94930,937.0,1,모바일웹,2019-01-03,2019,1,Thursday,1,주중,2019-01-03,2019-01-11,8 days,8
264,카드,D-20190103-0000392-01,2019-01-03 오후 6:20,2019-01-10 오후 1:15,22110,205.0,1,네이버 페이,2019-01-03,2019,1,Thursday,1,주중,2019-01-03,2019-01-10,7 days,7
265,카드,D-20190103-0000392-02,2019-01-03 오후 6:20,2019-01-10 오후 1:15,78210,397.0,1,네이버 페이,2019-01-03,2019,1,Thursday,1,주중,2019-01-03,2019-01-10,7 days,7
